soru;secenek_a;secenek_b;secenek_c;secenek_d;dogru_cevap;zorluk
Dünya'nın kutuplardan basık, Ekvator'dan şişkin olan kendine özgü şekline ne ad verilir?;Elips;Geoit;Daire;Silindir;B;kolay
Dünya üzerindeki bir noktanın yerini kesin olarak belirlemek için kullanılan temel coğrafi bilgiler hangileridir?;Sıcaklık ve basınç;Hız ve zaman;Enlem ve boylam;Yükseklik ve sıcaklık;C;kolay
Enlem kavramı aşağıdakilerden hangisini ifade eder?;Bir noktanın Greenwich Meridyeni'ne olan açısal uzaklığını;Bir noktanın Ekvator'a olan açısal uzaklığını;İki nokta arasındaki doğrusal mesafeyi;Bir noktanın deniz seviyesinden yüksekliğini;B;kolay
Boylamların başlangıç noktası olarak kabul edilen meridyen hangisidir?;Ekvator;Yengeç Dönencesi;Greenwich Meridyeni;Oğlak Dönencesi;C;kolay
İki meridyen arasında kaç dakikalık yerel saat farkı bulunur?;2 dakika;4 dakika;15 dakika;60 dakika;B;kolay
Dünya üzerindeki iki nokta arasındaki en kısa mesafeyi gösteren büyük daire parçasına ne ad verilir?;Paralel yayı;Meridyen yayı;Büyük daire yayı;Eksen doğrusu;C;orta
Dünya'nın eksen eğikliğinin temel sonuçlarından biri aşağıdakilerden hangisidir?;Meridyenlerin uzunluklarının değişmesi;Mevsimlerin oluşması;Dünya'nın dönüş hızının durması;Ekvator'un yer değiştirmesi;B;kolay
Seyrüsefer hesaplarında pusula ibresinin gösterdiği yön hangisidir?;Gerçek kuzey;Manyetik kuzey;Coğrafi güney;Ekvator yönü;B;kolay
Hava seyrüseferinin temel amacı aşağıdakilerden hangisidir?;Hava aracının bakım zamanını belirlemek;Hava aracının güvenli rota üzerinde konum ve istikametini belirlemek;Yolcu ve yük miktarını hesaplamak;Havaalanı terminal kapasitesini ölçmek;B;kolay
Aşağıdakilerden hangisi hava seyrüseferinde kullanılan asli referanslardan biri değildir?;Pozisyon;İstikamet;Mesafe;Motor sıcaklığı;D;kolay
