soru;secenek_a;secenek_b;secenek_c;secenek_d;dogru_cevap;zorluk
Hava Trafik Kontrol Hizmetinin temel amacı aşağıdakilerden hangisidir?;Hava araçlarının bakım programlarını hazırlamak;Hava araçlarının çarpışmasını önlemek ve düzenli trafik akışını sağlamak;Yolcuların terminal işlemlerini yönetmek;Hava yolu şirketlerinin bilet fiyatlarını belirlemek;B;kolay
Hava trafik kontrol hizmeti veren uzmanlara verilen kısaltma aşağıdakilerden hangisidir?;ATC;IATA;AIS;AIP;A;kolay
Havacılık freyzyolojisinin kullanılmasının temel nedeni aşağıdakilerden hangisidir?;Konuşmaları daha uzun ve ayrıntılı hâle getirmek;Mesajların kısa, açık ve belirsizlikten uzak olmasını sağlamak;Yalnızca yerel dillerin kullanılmasını sağlamak;Pilotların telsiz kullanmasını sınırlandırmak;B;kolay
Bir uçağın izleyeceği rota, zamanlama ve diğer operasyonel bilgileri içeren belge hangisidir?;Uçuş planı;Bakım kartı;Yolcu manifestosu;Meteoroloji haritası;A;kolay
Hava trafik kontrol sistemlerinde radarın temel işlevi aşağıdakilerden hangisidir?;Uçakların yakıt miktarını belirlemek;Uçakların konumunu, hızını ve yönünü izlemek;Yolcu sayısını hesaplamak;Pist yüzeyinin sıcaklığını ölçmek;B;kolay
Havacılık alfabesinin kullanılmasının temel amacı aşağıdakilerden hangisidir?;Telsiz mesajlarının açık ve doğru anlaşılmasını sağlamak;Konuşma süresini mümkün olduğunca uzatmak;Yalnızca askerî uçuşları tanımlamak;Havaalanlarının isimlerini değiştirmek;A;kolay
Havacılık alfabesi aşağıdaki adlardan hangisiyle de bilinir?;ICAO Fonetik Alfabesi;Denizcilik İşaret Alfabesi;Uluslararası Matematik Alfabesi;Meteoroloji Kod Alfabesi;A;kolay
Havacılık alfabesinin uluslararası düzeyde standartlaştırılmasının en önemli gerekçesi aşağıdakilerden hangisidir?;Farklı aksanlardan kaynaklanan yanlış anlamaları azaltmak;Pilotların daha hızlı konuşmasını sağlamak;Uçuş sürelerini kısaltmak;Havaalanı sayısını azaltmak;A;orta
TK 148 uçuş kodunun havacılık alfabesine göre doğru ifade edilişi hangisidir?;Tango – Kilo – Van – Fovır – Eyt;Tango – Kilo – Van – Tri – Eyt;Teksas – Kilo – Van – Fovır – Eyt;Tango – Kilo – Ziro – Fovır – Eyt;A;orta
Havacılık telsiz konuşmalarında dört rakamının özel bir telaffuzla söylenmesinin nedeni aşağıdakilerden hangisidir?;For sözcüğüyle karışmasını önlemek;Rakamın daha uzun duyulmasını sağlamak;Yalnızca askerî uçuşlarda kullanılması;Rakamın radar ekranında farklı görünmesi;A;orta
FL90 uçuş seviyesi havacılık alfabesine göre nasıl kodlanır?;Foxtrot – Lima – Naynır – Ziro;Foxtrot – Lima – Van – Ziro;Lima – Foxtrot – Naynır – Ziro;Foxtrot – Naynır – Lima – Ziro;A;orta
Telsizle mesaj göndermeden önce yapılması gereken ilk işlem aşağıdakilerden hangisidir?;Frekansı dinleyerek başka bir konuşma olup olmadığını kontrol etmek;Mikrofonu en yüksek ses seviyesine getirmek;Mesajı birkaç kez tekrarlamak;Doğrudan konuşmaya başlamak;A;kolay
Aşağıdaki konuşma biçimlerinden hangisi standart haberleşme tekniğine uygundur?;Bağırarak ve hızlı konuşmak;Kısık sesle ve kesintili konuşmak;Normal ses tonuyla açık ve belirgin konuşmak;Uzun cümlelerle ayrıntılı açıklamalar yapmak;C;kolay
Telsiz konuşmasında mikrofonun ağza aşırı yakın tutulması hangi sonuca yol açabilir?;Mesajın anlaşılırlığının azalmasına;Radar görüntüsünün bozulmasına;Uçağın transponder kodunun değişmesine;Frekansın otomatik kapanmasına;A;kolay
Rakamların söylenmesinden önce ve sonra kısa bir ara verilmesinin amacı nedir?;Konuşmayı daha resmî hâle getirmek;Rakamların daha doğru anlaşılmasını sağlamak;Frekansı boş bırakmak;Telsiz gücünü artırmak;B;kolay
Gönderme butonunun doğru kullanımı aşağıdakilerden hangisidir?;Konuşmaya başladıktan sonra basmak;Konuşmadan kısa süre önce basıp konuşma bittikten kısa süre sonra bırakmak;Tüm uçuş boyunca basılı tutmak;Her kelimeden sonra bırakıp yeniden basmak;B;orta
Havacılık haberleşmesinde kullanılan ifadelerin hangi özellikte olması gerekir?;Uzun, ayrıntılı ve teknik;Açık, kısa ve kesin;Günlük konuşma diline dayalı;Saygı ifadeleri bakımından zengin;B;kolay
Telsiz mikrofonunun gönderme sonrasında takılı kalması neden önemli bir tehlikedir?;Frekansın diğer kullanıcılar tarafından kullanılmasını engelleyebilir.;Uçağın motor gücünü azaltabilir.;Radar sistemini tamamen kapatabilir.;Uçağın irtifasını otomatik olarak değiştirebilir.;A;orta
Mesaj kategorileri içinde en yüksek önceliğe sahip olan hangisidir?;Meteoroloji;Uçuş emniyeti;Emercensi;İstikamet tespiti;C;kolay
Mode C ve Mode S transponderlerin diğer sistemlere iletebildiği ek bilgi aşağıdakilerden hangisidir?;Yolcu sayısı;İrtifa bilgisi;Yakıt miktarı;Uçuş ekibinin adı;B;orta
ATC tarafından Squawk 7421 talimatı verildiğinde pilot ne yapmalıdır?;Uçuş seviyesini 7421 feet olarak ayarlamalıdır.;Transponder cihazına 7421 kodunu girmelidir.;7421 numaralı piste yönelmelidir.;Telsiz frekansını 74.21'e ayarlamalıdır.;B;orta
Transponder kodlarının her bir hanesinde hangi rakamlar kullanılabilir?;0 ile 5 arasındaki rakamlar;0 ile 7 arasındaki rakamlar;1 ile 8 arasındaki rakamlar;0 ile 9 arasındaki rakamlar;B;orta
7600 transponder kodu hangi durumu ifade eder?;Genel acil durum;Telsiz arızası;Uçak kaçırma;Yakıt yetersizliği;B;kolay
7500 transponder kodu hangi durumu ifade eder?;Uçak kaçırma veya kanunsuz girişim;Telsiz arızası;Genel acil durum;Normal uçuş;A;kolay
Kokpit ekibine uçuş izni, ilk tırmanış irtifası ve kalkış sonrası rota bilgilerini veren ATC birimi hangisidir?;Ground;Delivery;Tower;Center;B;orta
Taksi ve pushback izinlerinden sorumlu ATC birimi hangisidir?;Ground;Approach;Center;Delivery;A;kolay
