soru;secenek_a;secenek_b;secenek_c;secenek_d;secenek_e;dogru_cevap;zorluk
Hava seyrüseferleri ile ilgili işlemleri düzenlemek adına özel olarak konulmuş hukuk dalına ne ad verilir?;Deniz Hukuku;Hava Hukuku;Ticaret Hukuku;Uzay Hukuku;;B;kolay
Bir devletin ulusal hava sahasının sınırı aşağıdakilerden hangisidir?;Kıta sahanlığının bittiği çizgi;Ülkenin kara sınırları;Karasularının bittiği çizgi;Açık denizlerin başladığı çizgi;;C;kolay
13 Ekim 1919 tarihinde 27 devlet tarafından imzalanan ve hava seyrüseferi ile ilgili uluslararası hukukun ilk çok taraflı dokümanı olan sözleşme aşağıdakilerden hangisidir?;Paris Sözleşmesi;Madrid Sözleşmesi;Chicago Sözleşmesi;Iber-Amerikan Sözleşmesi;;A;orta
Sivil havacılık hukukunun en önemli hukuki dayanağı olan ve hava sahalarının niteliği ile kabotaj konularında önemli düzenlemeler getiren sözleşme aşağıdakilerden hangisidir?;Paris Sözleşmesi;Madrid Sözleşmesi;Iber-Amerikan Sözleşmesi;Chicago Sözleşmesi;;D;kolay
Aşağıdakilerden hangisi Chicago Sözleşmesi'ne hakim olan uluslararası hukuk prensiplerinden biri değildir?;Hava sahasının tüm devletlerin ortak malı sayılması;Her bir devletin kendi hava sahasında egemenliği;Açık denizlerde uçuş serbestisi;Taşıyıcı hava araçlarının uyrukluğu;;A;orta
IATA ile ICAO arasındaki temel fark aşağıdakilerden hangisinde doğru olarak verilmiştir?;IATA ülkelerin havayolu yetkileriyle, ICAO havayolu şirketleriyle ilgilidir.;Her iki kuruluş da yalnızca askeri havacılıkla ilgilenir.;IATA havayolu şirketleriyle ilgiliyken, ICAO ülkelerin havayolu yetkileriyle ilgilidir.;IATA ve ICAO arasında hiçbir işbirliği bulunmaz.;;C;orta
ICAO'ya üye olabilmenin koşulu aşağıdakilerden hangisidir?;IATA üyesi olmak;EASA üyesi olmak;Avrupa Birliği üyesi olmak;Birleşmiş Milletler'e üye olmak;;D;kolay
"Türkiye'de sivil havacılık sektörünün düzenlenmesinden ve denetlenmesinden sorumlu; pilotlara ve diğer havacılık personeline lisans ve sertifika veren devlet kurumu aşağıdakilerden hangisidir?";EASA;Sivil Havacılık Genel Müdürlüğü (SHGM);IATA;ICAO;;B;kolay
Aşağıdaki İHA ve sistemlerinden hangisi SHT-İHA Talimatı'nın kapsamı dışındadır?;Azami kalkış ağırlığı 4 kg olan sivil İHA'lar;Azami kalkış ağırlığı 500 gr'dan daha az olan İHA'lar;Türk Hava Sahasında ticari faaliyet yürüten İHA'lar;Azami kalkış ağırlığı 25 kg olan sivil İHA'lar;;B;kolay
SHT-İHA Talimatı'na göre azami kalkış ağırlığı 4 kg (dâhil) ile 25 kg aralığında olan İHA'lar hangi sınıfta yer alır?;İHA0;İHA2;İHA1;İHA3;;C;kolay
