soru;secenek_a;secenek_b;secenek_c;secenek_d;secenek_e;dogru_cevap;zorluk
Türkiye’nin “üç tarafı denizlerle çevrili olması, İstanbul ve Çanakkale boğazlarına sahip bulunması ve sekiz ülkeyle kara sınırı paylaşması” gibi özellikleri bir bütün olarak değerlendirildiğinde aşağıdaki yargılardan hangisine ulaşılır?;Türkiye yalnızca deniz yolu taşımacılığında öne çıkan bir ülkedir.;Türkiye’nin lojistik önemi tek bir ulaşım türüne dayanır.;Türkiye, farklı yönlere açılabilen bir geçiş ve bağlantı alanıdır.;Türkiye’nin coğrafi konumu lojistik açıdan dezavantaj oluşturur.;Türkiye’de yalnızca iç ticaret faaliyetleri gelişmiştir.;C;orta
Aşağıdakilerden hangisi Türkiye’nin matematiksel konumunun (36°–42° kuzey paralelleri, 26°–45° doğu meridyenleri) doğrudan bir sonucudur?;Asya ile Avrupa arasında köprü olması;Genel olarak ılıman iklim özelliklerinin görülmesi;Sekiz ülkeyle kara sınırı paylaşması;Boğazlara sahip olması;Orta Doğu pazarlarına yakın bulunması;B;kolay
“Türkiye’nin üretimi ne kadar düzenli yapılıyorsa taşımacılık ve dağıtım faaliyetleri de o kadar güçlü olur.” cümlesi, iklim ile lojistik arasında nasıl bir ilişki kurmaktadır?;İklim yalnızca turizmi etkiler, lojistikle ilgisi yoktur.;İklim üretimi etkileyerek dolaylı yoldan lojistiği etkiler.;Lojistik faaliyetler iklimi değiştirir.;İklim yalnızca deniz taşımacılığını etkiler.;Üretim ile taşımacılık arasında ilişki bulunmaz.;B;kolay
Türkiye’nin kuzeybatısında yer alan, İstanbul merkezli alanın lojistik açıdan ülkenin en gelişmiş kesimlerinden biri olmasının nedeni aşağıdakilerden hangisinde tam olarak verilmiştir?;Yalnızca tarım alanlarının verimli olması;Yalnızca turizm faaliyetlerinin yoğun olması;Sanayi, ticaret, nüfus, kara-deniz yolu bağlantıları ve boğazların geçiş avantajı;Yalnızca demir yolu hatlarının yoğun olması;Yalnızca sınır kapılarının çok olması;C;kolay
Aşağıda Türkiye’nin bazı coğrafi kesimleri ile öne çıkan lojistik özellikleri eşleştirilmiştir. Bu eşleştirmelerden hangisi yanlıştır?;Kuzeybatı kesimleri – Sanayi ve boğaz geçiş avantajı;Batı kıyıları – Verimli tarım alanları ve limanlar;Güney kıyıları – Mersin ve İskenderun çevresinde liman taşımacılığı;Doğu ve güneydoğu kesimleri – Sınır kapıları ve uluslararası kara taşımacılığı;İç kesimler – Doğrudan deniz taşımacılığı merkezi olma;E;orta
Romanya’daki bir limandan yüklenen tahıl gemisinin Karadeniz’den Akdeniz’e ve oradan Kuzey Afrika’ya ulaşabilmesi için izlemesi gereken su yolu aşağıdakilerden hangisidir?;Süveyş Kanalı – Kızıldeniz;Cebelitarık Boğazı – Atlas Okyanusu;İstanbul Boğazı – Çanakkale Boğazı;Malakka Boğazı – Hint Okyanusu;Basra Körfezi – Hürmüz Boğazı;C;orta
Türkiye lojistik coğrafyasında bazen “geçiş ülkesi”, bazen “bağlantı alanı”, bazen de “dağıtım merkezi” olarak değerlendirilmektedir. Bu üç kavramın ortak vurgusu aşağıdakilerden hangisidir?;Türkiye’nin yalnızca ham madde ürettiği;Türkiye’nin konumundan kaynaklanan aracılık-bağlantı işlevi;Türkiye’nin denize kıyısı olmadığı;Türkiye’nin yalnızca iç ticaretle uğraştığı;Türkiye’nin ulaşım altyapısının zayıf olduğu;B;orta
Türkiye’nin doğusunda yer alan komşuları aşağıdaki seçeneklerin hangisinde birlikte ve doğru olarak verilmiştir?;Yunanistan – Bulgaristan;Irak – Suriye;Gürcistan – Ermenistan – Nahçıvan – İran;Yunanistan – Irak;Bulgaristan – Suriye;C;kolay
Bir lojistik şirketi, Uzak Doğu’da üretilen elektronik ürünleri Avrupa, Orta Doğu ve Kuzey Afrika pazarlarına ulaştıracak bir dağıtım merkezi kurmak istemektedir. Denize kıyısı olmayan bir ülke ile Türkiye karşılaştırıldığında Türkiye’yi öne çıkaran temel özellik aşağıdakilerden hangisidir?;Yüz ölçümünün daha küçük olması;Üç kıtaya yakın konumu ve denizlere açılan ulaşım bağlantıları;Yalnızca tek bir komşusunun bulunması;Hiç limanının olmaması;Yalnızca hava yolu taşımacılığına dayanması;B;zor
"“Türkiye’nin bulunduğu yer, onu yalnızca bir ülke değil; bir geçiş ve bağlantı alanı hâline getirir.” ifadesi en çok aşağıdaki coğrafi özelliklerden hangisiyle açıklanabilir?";Türkiye’nin yüz ölçümünün büyük olması;Türkiye’nin Asya ile Avrupa’nın yaklaştığı geçiş alanında bulunması;Türkiye’nin yalnızca tarımsal üretim yapması;Türkiye’nin nüfusunun fazla olması;Türkiye’de yalnızca kara yolu bulunması;B;kolay
Bir ülkenin lojistik yapısının yalnızca coğrafi konuma değil, doğal ve beşerî özelliklere de bağlı olduğu belirtilmektedir. Aşağıdakilerden hangisi beşerî (insan kaynaklı) bir unsurdur?;Dağların uzanış yönü;Boğazların varlığı;Denizlere kıyı olma durumu;Organize sanayi bölgeleri;İklim özellikleri;D;kolay
Aşağıdakilerden hangisi Türkiye lojistik coğrafyasında yalnızca taşıma dışında yer alan faaliyetlerden biri değildir?;Depolama;Gümrükleme;Aktarma;Dağıtım;Boğazların oluşumu;E;kolay
"Türkiye’nin matematiksel konumunun düzenli üretime, özel konumunun ise pazarlara yakınlığa katkı sağladığı düşünülürse; hem üretim koşulları hem de Avrupa ve Orta Doğu pazarlarına yakınlık arayan bir tarım şirketi için Türkiye’nin sunduğu avantaj aşağıdakilerden hangisidir?";Yalnızca ucuz iş gücü;Uygun iklimle üretim ve birden çok pazara coğrafi yakınlık;Yalnızca düşük vergi oranları;Denize kıyısının olmaması;Yalnızca tek pazara erişim;B;orta
Türkiye’nin Balkanlar, Kafkasya ve Orta Doğu gibi bölgelere yakın olmasının lojistik açıdan en doğrudan sonucu aşağıdakilerden hangisidir?;Türkiye’nin yalnızca iç pazara hizmet etmesi;Farklı bölgelere açılan ulaşım ve ticaret köprüsü olması;Türkiye’nin tarım dışı üretiminin durması;Türkiye’nin boğazlarının kapanması;Komşu ülkelerle ticaretin imkânsız hâle gelmesi;B;kolay
Karadeniz’e kıyısı olan ülkeler arasında kriz çıktığında tahıl taşımacılığının Türk boğazlarına bağımlı hâle gelmesi, Türkiye’nin küresel ticaretteki rolüyle ilgili olarak en çok hangi kavramı öne çıkarır?;Hinterlant;Geçiş ve kontrol noktası olma;Rezerv para;Enflasyon;İl yolu;B;zor
