soru;secenek_a;secenek_b;secenek_c;secenek_d;dogru_cevap;zorluk
Meteoroloji biliminin temel inceleme alanı aşağıdakilerden hangisidir?;Hava araçlarının yapısal tasarımı;Atmosfer ve atmosferde meydana gelen olaylar;Yeryüzündeki kayaçların oluşumu;Denizlerdeki su hareketleri;B;kolay
Atmosferik basınç aşağıdakilerden hangisini ifade eder?;Bir gazın birim yüzeye uyguladığı kuvveti;Atmosferdeki toplam nem miktarını;Havanın yatay hareket hızını;Bir cismin deniz seviyesine olan yatay uzaklığını;A;kolay
İrtifa kavramı aşağıdakilerden hangisiyle en doğru şekilde açıklanır?;Bir noktanın yer yüzeyine olan yatay uzaklığıdır.;Bir hava aracının kalkıştan sonra aldığı toplam yoldur.;Bir noktanın ortalama deniz seviyesinden olan düşey uzaklığıdır.;Atmosferdeki basınç farkının ölçüsüdür.;C;kolay
Meteorolojik olayların büyük bölümünün gerçekleştiği atmosfer katmanı hangisidir?;Mezosfer;Troposfer;Termosfer;İyonosfer;B;kolay
Ozon tabakasının bulunduğu ve Güneş'ten gelen morötesi ışınların önemli ölçüde filtrelendiği atmosfer katmanı hangisidir?;Stratosfer;Troposfer;Mezosfer;Ekzosfer;A;orta
Meteorolojik uyduların temel işlevlerinden biri aşağıdakilerden hangisidir?;Havaalanlarının pist uzunluklarını ölçmek;Bulut, sıcaklık, nem ve hava hareketlerine ilişkin veri toplamak;Uçakların yakıt tüketimini hesaplamak;Hava araçlarının bakım zamanlarını belirlemek;B;kolay
Yağışın miktarını, türünü ve hareketini izlemek amacıyla öncelikle hangi sistemden yararlanılır?;Radar;Barometre;Pusula;Altimetre;A;kolay
Atmosferin üst katmanlarındaki sıcaklık, nem ve basınç değerlerinin ölçülmesinde aşağıdaki araçlardan hangisi kullanılır?;Deniz feneri;Meteoroloji balonu;Hava trafik radarı;Pist görüş ölçer;B;kolay
Numerik hava tahmin modellerinin temel işlevi aşağıdakilerden hangisidir?;Atmosferdeki değişimleri matematiksel denklemlerle simüle etmek;Hava araçlarının rota izinlerini düzenlemek;Yalnızca geçmiş hava olaylarını arşivlemek;Havaalanlarının kapasitesini hesaplamak;A;orta
Hava tahmin süresi ile tahmin doğruluğu arasındaki genel ilişki aşağıdakilerden hangisidir?;Tahmin süresi uzadıkça doğruluk kesin olarak artar.;Tahmin süresi kısaldıkça doğruluk genellikle artar.;Tahmin süresinin doğruluk üzerinde etkisi yoktur.;Mevsimlik tahminler günlük tahminlerden her zaman daha doğrudur.;B;orta
Atmosferik görüş mesafesi aşağıdakilerden hangisini ifade eder?;Bir hava aracının ulaşabileceği en yüksek irtifayı;Bir gözlemcinin atmosfer içinde nesneleri net olarak görebildiği uzaklığı;İki havaalanı arasındaki uçuş mesafesini;Bulutların yerden olan yüksekliğini;B;kolay
Aşağıdakilerden hangisi atmosferik görüş mesafesini azaltan etkenlerden biri değildir?;Sis;Duman;Yoğun kar;Açık ve kuru hava;D;kolay
Bir meteoroloji raporunda görüş mesafesinin 2 kilometre olduğu belirtilmiştir. Bu bilgi ne anlama gelir?;Bulut tabanının 2 kilometre yükseklikte olduğunu;Nesnelerin yaklaşık 2 kilometreye kadar net görülebildiğini;Rüzgâr hızının saatte 2 kilometre olduğunu;Yağışın 2 kilometrelik alanda etkili olduğunu;B;orta
Temas hâlindeki iki cisim arasında sıcak olandan soğuk olana doğru gerçekleşen ısı iletimi hangisidir?;Konveksiyon;Radyasyon;Kondüksiyon;Yoğuşma;C;kolay
Hareket eden bir hava kütlesinin ısı, nem ve partikülleri birlikte taşıması hangi süreçle açıklanır?;Konveksiyon;Kondüksiyon;Donma;Buharlaşma;A;kolay
Isı enerjisinin aracı bir maddeye ihtiyaç duymadan elektromanyetik dalgalar hâlinde yayılması aşağıdakilerden hangisidir?;Konveksiyon;Kondüksiyon;Radyasyon;Süblimleşme;C;kolay
Kümülonimbus bulutlarının gelişmesinde temel rol oynayan ısı taşınım süreci hangisidir?;Kondüksiyon;Konveksiyon;Yansıma;Kırılma;B;orta
Rüzgârın genel hareket yönü aşağıdakilerden hangisidir?;Alçak basınç alanından yüksek basınç alanına;Yüksek basınç alanından alçak basınç alanına;Soğuk bölgeden sıcak bölgeye, basınçtan bağımsız olarak;Yalnızca dikey yönde;B;kolay
İki bölge arasındaki basınç farkı arttığında rüzgâr hızının nasıl değişmesi beklenir?;Azalması;Değişmemesi;Artması;Tamamen durması;C;kolay
Türbülans aşağıdakilerden hangisiyle en doğru şekilde açıklanır?;Havanın yalnızca yatay ve düzenli hareketidir.;Hava kütleleri arasında oluşan dikey veya karışık düzensiz hareketlerdir.;Atmosfer basıncının sabit kalmasıdır.;Bulutların yer yüzeyine temas etmesidir.;B;kolay
Sis ile bulut arasındaki temel fark aşağıdakilerden hangisidir?;Sis yalnızca buz kristallerinden oluşur.;Bulutlar yalnızca gece oluşur.;Sis yer yüzeyinde veya yer yüzeyine çok yakın oluşur.;Bulutlar görüş mesafesini hiçbir zaman etkilemez.;C;kolay
Kümülonimbus bulutlarının hava araçları açısından tehlikeli kabul edilmesinin temel nedeni aşağıdakilerden hangisidir?;Yalnızca yatay rüzgâr oluşturması;Şiddetli türbülans, buzlanma, düşük görüş ve kuvvetli dikey akımlar içermesi;Daima açık hava koşullarında oluşması;Hava aracının yakıt tüketimini azaltması;B;orta
Soğuk havada bir dronun uçuş süresinin azalmasının en önemli nedeni aşağıdakilerden hangisidir?;Pervanelerin büyümesi;Bataryanın daha hızlı enerji kaybetmesi;Atmosfer basıncının tamamen ortadan kalkması;Kameranın çözünürlüğünün artması;B;orta
